id,name,current_price,price_change_24h,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
hedera-hashgraph,Hedera,0.248055,-0.02060738827091066,-7.67035,0.26869,0.242203,0.569229,0.00986111,01-08-25_14-13-00
wrapped-eeth,Wrapped eETH,3932.78,-163.55805806708076,-3.99279,4102.64,3856.01,4311.81,1505.24,01-08-25_14-13-00
avalanche-2,Avalanche,22.2,-1.172748502713457,-5.01727,23.47,21.83,144.96,2.8,01-08-25_14-13-00
ethena-usde,Ethena USDe,1.001,0.00011097,0.01109,1.001,0.999683,1.032,0.929486,01-08-25_14-13-00
the-open-network,Toncoin,3.5,-0.02090677892074133,-0.59308,3.65,3.37,8.25,0.519364,01-08-25_14-13-00
weth,WETH,3670.5,-145.42274755574726,-3.81095,3815.92,3606.86,4799.89,82.1,01-08-25_14-13-00
leo-token,LEO Token,8.93,0.0009999,0.0112,8.97,8.92,10.14,0.799859,01-08-25_14-13-00
litecoin,Litecoin,105.8,-3.9942664642934886,-3.63795,110.32,103.87,410.26,1.15,01-08-25_14-13-00
usds,USDS,0.999599,-0.000116005123258933,-0.0116,0.999992,0.999419,1.057,0.948265,01-08-25_14-13-00
shiba-inu,Shiba Inu,1.232e-05,-5.23685732111e-07,-4.07896,1.299e-05,1.203e-05,8.616e-05,5.6366e-11,01-08-25_14-13-00
binance-bridged-usdt-bnb-smart-chain,Binance Bridged USDT (BNB Smart Chain),0.999439,-0.000653242219422534,-0.06532,1.005,0.995975,1.05,0.942186,01-08-25_14-13-00
coinbase-wrapped-btc,Coinbase Wrapped BTC,115830.0,-2631.7401292047434,-2.2216,118767.0,114139.0,123036.0,57439.0,01-08-25_14-13-00
whitebit,WhiteBIT Coin,43.24,-0.9822211316454457,-2.22126,44.22,42.76,52.27,3.06,01-08-25_14-13-00
monero,Monero,305.93,-3.0853585998747235,-0.99845,309.81,303.02,542.33,0.216177,01-08-25_14-13-00
polkadot,Polkadot,3.67,-0.14507547450680702,-3.79983,3.86,3.6,54.98,2.7,01-08-25_14-13-00
uniswap,Uniswap,9.18,-0.6242919735309229,-6.36684,9.84,9.06,44.92,1.03,01-08-25_14-13-00
ethena-staked-usde,Ethena Staked USDe,1.19,0.00083887,0.07083,1.19,1.18,1.29,1.012,01-08-25_14-13-00
bitget-token,Bitget Token,4.37,-0.13561301092982792,-3.00882,4.51,4.33,8.45,0.0142795,01-08-25_14-13-00
crypto-com-chain,Cronos,0.138415,-0.005243972117582596,-3.65028,0.14526,0.133542,0.965407,0.0121196,01-08-25_14-13-00
pepe,Pepe,1.062e-05,-6.84304191834e-07,-6.05605,1.14e-05,1.04e-05,2.803e-05,5.5142e-08,01-08-25_14-13-00
aave,Aave,260.13,-10.798559226700036,-3.98577,271.33,254.84,661.69,26.02,01-08-25_14-13-00
ethena,Ethena,0.606988,-0.03919007277932851,-6.0649,0.646178,0.564584,1.52,0.195078,01-08-25_14-13-00
dai,Dai,0.99986,-0.000132073099667895,-0.01321,1.0,0.999314,1.22,0.88196,01-08-25_14-13-00
